File1,File2,Similarity Score
1.html,10.html,0.5102361440658569
1.html,11.html,0.35353928804397583
1.html,12.html,0.2193051427602768
1.html,13.html,0.31539028882980347
1.html,14.html,0.411452978849411
1.html,15.html,0.36156055331230164
1.html,16.html,0.33485057950019836
1.html,17.html,0.28717315196990967
1.html,18.html,0.4431716799736023
1.html,19.html,0.5280795097351074
1.html,2.html,0.3179020881652832
1.html,20.html,0.3074234127998352
1.html,21.html,0.34043893218040466
1.html,22.html,0.45931077003479004
1.html,23.html,0.3432700037956238
1.html,24.html,0.48607224225997925
1.html,25.html,0.5021950006484985
1.html,26.html,0.45148715376853943
1.html,27.html,0.46390295028686523
1.html,28.html,0.28537511825561523
1.html,29.html,0.38665056228637695
1.html,3.html,0.34680360555648804
1.html,30.html,0.3025619387626648
1.html,31.html,0.5366307497024536
1.html,32.html,0.5936201810836792
1.html,33.html,0.38449281454086304
1.html,34.html,0.5299439430236816
1.html,35.html,0.29494696855545044
1.html,36.html,0.18350514769554138
1.html,37.html,0.18262708187103271
1.html,38.html,0.4675357937812805
1.html,39.html,0.24693065881729126
1.html,4.html,0.3443065881729126
1.html,40.html,0.5495505332946777
1.html,41.html,0.545767605304718
1.html,5.html,0.35499584674835205
1.html,6.html,0.42865222692489624
1.html,7.html,0.24911677837371826
1.html,8.html,0.41433030366897583
1.html,9.html,0.21765735745429993
10.html,11.html,0.33890479803085327
10.html,12.html,0.21260957419872284
10.html,13.html,0.27161312103271484
10.html,14.html,0.2562370300292969
10.html,15.html,0.4642956852912903
10.html,16.html,0.4705599248409271
10.html,17.html,0.5112771987915039
10.html,18.html,0.6308000087738037
10.html,19.html,0.5005698204040527
10.html,2.html,0.3344044089317322
10.html,20.html,0.4747788608074188
10.html,21.html,0.3514708876609802
10.html,22.html,0.3779684007167816
10.html,23.html,0.39989542961120605
10.html,24.html,0.5311591625213623
10.html,25.html,0.6307123899459839
10.html,26.html,0.5597732663154602
10.html,27.html,0.27223730087280273
10.html,28.html,0.21179074048995972
10.html,29.html,0.47442397475242615
10.html,3.html,0.643181324005127
10.html,30.html,0.5328351259231567
10.html,31.html,0.5691835880279541
10.html,32.html,0.6797900199890137
10.html,33.html,0.47915127873420715
10.html,34.html,0.6080528497695923
10.html,35.html,0.2886742651462555
10.html,36.html,0.21476808190345764
10.html,37.html,0.4549452066421509
10.html,38.html,0.6053731441497803
10.html,39.html,0.3166288137435913
10.html,4.html,0.42142003774642944
10.html,40.html,0.6153032779693604
10.html,41.html,0.4892057180404663
10.html,5.html,0.39047712087631226
10.html,6.html,0.5021549463272095
